step, task, epoch, num_class, num_instance, loss, acc1, acc5, accs, 
0, 0, 0, 10, 50, 2.3017005125681558, 10.677083333333334, 44.791666666666664, 0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/1.0/0.0, 
1, 0, 1, 10, 50, 2.2984492778778076, 9.375, 60.15625, 0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/1.0/0.0, 
2, 0, 2, 10, 50, 2.289077123006185, 16.40625, 71.09375, 0.0/0.5952380952380952/0.0/0.02631578947368421/0.0/0.0/0.0/0.0/1.0/0.0, 
3, 0, 3, 10, 50, 2.2756568590799966, 29.6875, 68.22916666666667, 0.0/0.8571428571428571/0.0/0.2926829268292683/0.0/0.0/0.0/1.0/0.918918918918919/0.0, 
4, 0, 4, 10, 50, 2.244793256123861, 28.385416666666668, 77.08333333333333, 0.0/0.28205128205128205/0.0/1.0/0.0/0.0/0.0/1.0/0.1388888888888889/0.38461538461538464, 
5, 0, 5, 10, 50, 2.2040409247080484, 30.729166666666668, 83.85416666666667, 0.0/0.0/0.0/1.0/0.0/0.0/0.0/1.0/0.0/1.0, 
6, 0, 6, 10, 50, 2.145667870839437, 28.90625, 79.6875, 0.0/0.0/0.0/1.0/0.0/0.0/0.0/1.0/0.0/0.9285714285714286, 
7, 0, 7, 10, 50, 2.047701040903727, 29.166666666666668, 80.20833333333333, 0.0/0.0/0.0/1.0/0.0/0.0/0.0/1.0/0.0/0.9411764705882353, 
8, 0, 8, 10, 50, 1.9437321821848552, 29.427083333333332, 81.51041666666667, 0.0/0.0/0.0/1.0/0.0/0.0/0.0/1.0/0.0/0.9743589743589743, 
9, 0, 9, 10, 50, 1.8281145095825195, 31.25, 87.76041666666667, 0.0/0.0/0.0/1.0/0.0/0.0/0.0/1.0/0.20930232558139536/0.825, 
10, 0, 10, 10, 50, 1.7571711937586467, 28.90625, 93.22916666666667, 0.0/0.0/0.0/1.0/0.0/0.0/0.027777777777777776/1.0/0.42857142857142855/0.5, 
11, 0, 11, 10, 50, 1.6728312969207764, 42.708333333333336, 95.57291666666667, 0.7837837837837838/0.06976744186046512/0.0/0.18421052631578946/0.0/0.5897435897435898/0.4594594594594595/1.0/0.6666666666666666/0.5, 
12, 0, 12, 10, 50, 1.6331381400426228, 40.885416666666664, 90.10416666666667, 0.2727272727272727/0.9487179487179487/0.0/0.0/0.05714285714285714/0.7948717948717948/0.0/1.0/1.0/0.02702702702702703, 
13, 0, 13, 10, 50, 1.588605562845866, 40.364583333333336, 92.96875, 0.5789473684210527/1.0/0.14285714285714285/0.0/0.0/0.225/0.0/1.0/1.0/0.0, 
14, 0, 14, 10, 50, 1.5161844491958618, 38.020833333333336, 99.47916666666667, 0.13513513513513514/1.0/0.39473684210526316/0.0/0.07692307692307693/0.07894736842105263/0.0/1.0/1.0/0.0, 
15, 0, 15, 10, 50, 1.4807275136311848, 53.385416666666664, 99.47916666666667, 0.15/1.0/0.8421052631578947/0.0/0.7619047619047619/0.5714285714285714/0.0/1.0/1.0/0.06976744186046512, 
16, 0, 16, 10, 50, 1.428280274073283, 56.770833333333336, 99.21875, 0.0/0.8157894736842105/0.9/0.0/1.0/0.39473684210526316/0.15/1.0/0.875/0.575, 
17, 0, 17, 10, 50, 2.1827491919199624, 29.6875, 71.875, 0.07317073170731707/0.25/0.10810810810810811/0.0/0.2857142857142857/0.0/0.5384615384615384/0.6666666666666666/0.4523809523809524/0.5833333333333334, 
18, 0, 18, 10, 50, 2.6727327505747476, 9.895833333333334, 48.958333333333336, 0.0/0.0/0.0/0.0/0.0/0.0/1.0/0.0/0.0/0.0, 
19, 0, 19, 10, 50, 2.5051881472269693, 9.635416666666666, 49.479166666666664, 0.0/0.0/0.0/0.0/0.0/0.0/1.0/0.0/0.0/0.0, 
20, 0, 20, 10, 50, 2.2911696434020996, 20.052083333333332, 69.79166666666667, 0.2631578947368421/0.3/0.0/0.0/0.0/0.0/0.975609756097561/0.0/0.15/0.23076923076923078, 
21, 0, 21, 10, 50, 2.219303528467814, 21.09375, 75.26041666666667, 0.09523809523809523/0.0/0.9487179487179487/0.0/0.0/0.0/0.0/0.0/0.7857142857142857/0.21212121212121213, 
22, 0, 22, 10, 50, 2.190906365712484, 20.572916666666668, 55.208333333333336, 0.0/0.0/1.0/0.0/0.0/0.0/0.0/0.0/1.0/0.0, 
23, 0, 23, 10, 50, 2.1755974292755127, 20.3125, 50.260416666666664, 0.0/0.0/1.0/0.0/0.0/0.0/0.0/0.0/1.0/0.0, 
24, 0, 24, 10, 50, 2.12836488087972, 20.3125, 51.041666666666664, 0.0/0.0/1.0/0.0/0.0/0.0/0.0/0.0/1.0/0.0, 
25, 0, 25, 10, 50, 2.086021661758423, 21.354166666666668, 63.020833333333336, 0.0/0.5294117647058824/0.7567567567567568/0.0/0.0/0.0/0.0/0.0/1.0/0.0, 
26, 0, 26, 10, 50, 2.0555349588394165, 29.427083333333332, 91.14583333333333, 0.0/1.0/0.029411764705882353/0.8974358974358975/0.0/0.0/0.0/0.0/1.0/0.0, 
27, 0, 27, 10, 50, 2.028677463531494, 21.614583333333332, 98.69791666666667, 0.0/0.02631578947368421/0.0/1.0/0.0/0.0/0.0/0.0/1.0/0.0, 
28, 0, 28, 10, 50, 2.027483065923055, 19.791666666666668, 88.54166666666667, 0.0/0.0/0.0/1.0/0.0/0.0/0.0/0.07894736842105263/1.0/0.0, 
29, 0, 29, 10, 50, 2.005964438120524, 26.302083333333332, 90.10416666666667, 0.0/0.0/0.0/1.0/0.0/0.0/0.0/0.6756756756756757/1.0/0.0, 
30, 0, 30, 10, 50, 1.987839937210083, 32.552083333333336, 94.53125, 0.0/0.0/0.0/1.0/0.0/0.0/0.2702702702702703/1.0/1.0/0.0, 
31, 0, 31, 10, 50, 1.989457368850708, 42.708333333333336, 97.39583333333333, 0.1282051282051282/0.0/0.022222222222222223/0.475/0.0/0.75/1.0/1.0/1.0/0.0, 
32, 0, 32, 10, 50, 1.9741491079330444, 49.739583333333336, 90.88541666666667, 0.358974358974359/0.0/0.6511627906976745/0.0/0.0/0.7560975609756098/1.0/1.0/0.6285714285714286/0.5263157894736842, 
33, 0, 33, 10, 50, 1.951789657274882, 48.958333333333336, 89.84375, 0.21052631578947367/0.0/0.9166666666666666/0.0/0.0/0.5853658536585366/1.0/1.0/0.0/1.0, 
34, 0, 34, 10, 50, 1.9608583450317383, 44.791666666666664, 90.10416666666667, 0.09302325581395349/0.0/0.9761904761904762/0.0/0.0/0.47058823529411764/1.0/1.0/0.0/1.0, 
